Countries,Health Personnel per 1000
Afghanistan,0.16956522
Albania,1.6875
Algeria,0.99230769
Andorra,1.98571429
Angola,0.38571429
Antigua and Barbuda,2.14
Argentina,2.475
Armenia,2.2375
Australia,3.98125
Austria,3.36153846
Azerbaijan,2.9
Bahamas,1.79090909
Bahrain,0.95
Bangladesh,0.19411765
Barbados,2.37142857
Belarus,3.975
Belgium,3.57857143
Belize,0.8
Benin,0.22857143
Bhutan,0.38333333
Bolivia (Plurin. State of),0.62666667
Bosnia and Herzegovina,2.08181818
Botswana,0.99130435
Brazil,3.06875
Brunei Darussalam,2.075
Bulgaria,2.9
Burkina Faso,0.16875
Burundi,0.15454545
Cabo Verde,0.45
Cambodia,0.28333333
Cameroon,0.15
Canada,4.1
Central African Republic,0.09090909
Chad,0.10909091
Chile,0.4
China,0.93125
Colombia,1.24545455
Comoros,0.23333333
Congo,0.37272727
Cook Islands,1.83333333
Costa Rica,0.56666667
Côte d’Ivoire,0.2
Croatia,2.84166667
Cuba,5.22857143
Cyprus,1.95714286
Czechia,3.38
Dem. People's Rep. Korea,2.05555556
Dem. Rep. of the Congo,0.18333333
Denmark,5.92307692
Djibouti,0.2
Dominica,2.58333333
Dominican Republic,0.9
Ecuador,1.14117647
Egypt,0.875
El Salvador,1.02727273
Equatorial Guinea,0.25
Eritrea,0.175
Estonia,3.01875
Eswatini,0.8
Ethiopia,0.13333333
Fiji,0.8
Finland,5.6
France,3.72631579
Gabon,1.0375
Gambia,0.275
Georgia,2.325
Germany,4.59166667
Ghana,0.48571429
Greece,3.2
Grenada,1.20769231
Guatemala,0.47142857
Guinea,0.13333333
Guinea-Bissau,0.36666667
Guyana,0.62307692
Haiti,0.275
Honduras,0.525
Hungary,2.77692308
Iceland,5.2625
India,0.73333333
Indonesia,0.39473684
Iran (Islamic Republic of),0.71666667
Iraq,0.64545455
Ireland,4.85
Israel,2.51666667
Italy,2.52
Jamaica,0.58333333
Japan,3.8375
Jordan,1.91875
Kazakhstan,2.77272727
Kenya,0.29166667
Kiribati,1.21428571
Kuwait,2.48823529
Kyrgyzstan,1.70909091
Lao People's Dem. Rep.,0.53636364
Latvia,2.5
Lebanon,1.7
Lesotho,0.23333333
Liberia,0.09
Libya,2.12631579
Lithuania,3.68181818
Luxembourg,4.15833333
Madagascar,0.10666667
Malawi,0.16666667
Malaysia,1.14166667
Maldives,1.85333333
Mali,0.19166667
Malta,3.25
Marshall Islands,0.9125
Mauritania,0.35
Mauritius,1.325
Mexico,1.40769231
Micronesia (Fed. States of),1.15555556
Monaco,7.625
Mongolia,1.98571429
Montenegro,2
Morocco,0.4625
Mozambique,0.10625
Myanmar,0.40555556
Namibia,0.85
Nauru,1.88571429
Nepal,0.7
Netherlands,3.32
New Zealand,3.81818182
Nicaragua,0.67692308
Niger,0.08
Nigeria,0.51818182
Niue,3.8625
North Macedonia,2.0875
Norway,5.925
Oman,1.7
Pakistan,0.45
Palau,2.5125
Panama,1.22142857
Papua New Guinea,0.15714286
Paraguay,0.81818182
Peru,0.73636364
Philippines,1.9
Poland,2.31666667
Portugal,2.8
Qatar,2.65789474
Republic of Korea,2.2875
Republic of Moldova,2.39090909
Romania,2.19333333
Russian Federation,4.075
Rwanda,0.2125
Saint Kitts and Nevis,2.45
Saint Lucia,0.76153846
Saint Vincent & Grenadines,1.53333333
Samoa,0.56111111
San Marino,4.075
Sao Tome and Principe,1.02
Saudi Arabia,1.94
Senegal,0.22777778
Serbia,2.15333333
Seychelles,1.35625
Sierra Leone,0.175
Singapore,2.29444444
Slovakia,3.61818182
Slovenia,3.225
Solomon Islands,0.62142857
Somalia,0.05
South Africa,1.5625
Spain,3.01111111
Sri Lanka,0.76521739
Sudan,0.36666667
Suriname,1.53
Sweden,5.2
Switzerland,5.94545455
Syrian Arab Republic,1.28125
Tajikistan,1.92222222
Thailand,0.82
Timor-Leste,0.57692308
Togo,0.18
Tonga,1.33125
Trinidad and Tobago,1.4375
Tunisia,1.02222222
Turkey,1.22
Turkmenistan,2.39166667
Tuvalu,1.59230769
Uganda,0.2625
Ukraine,2.85
United Arab Emirates,1.7375
United Kingdom,3.26666667
United Rep. of Tanzania,0.1
United States of America,3.56153846
Uruguay,2.73333333
Uzbekistan,3.6875
Vanuatu,0.63333333
Venezuela (Boliv. Rep. of),1.16666667
Viet Nam,0.73333333
Yemen,0.25833333
Zambia,0.2
Zimbabwe,0.31538462